8188fu-dkms-git r13.586d795-1
haskell-warp 3.3.30-2
haskell-witherable 0.4.2-69
haskell-word8 0.1.3-22
haskell-x11 1.10.3-1
haskell-x11-xft 0.3.4-53
haskell-x509 1.7.7-43
haskell-x509-store 1.6.9-61
haskell-x509-system 1.6.7-64
haskell-x509-validation 1.6.12-66
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.3-14
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.11.2-10
haskell-zip-archive 0.4.3-11
haskell-zlib 0.6.3.0-45
hdf5 1.14.2-1
hdparm 9.65-1
hexedit 1.6-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hslua-cli 1.4.1-13
http-parser 2.9.4-1
httpie 3.2.1-4
hunspell 1.7.2-1
hunspell-en_us 2020.12.07-5
hwdata 0.375-2
hwloc 2.9.1-1
hydra 9.5-1
hyphen 2.8.8-5
i2c-tools 4.3-4
i3-battery-popup 1.0.0-1
i3-wm 4.23-1
i3blocks 1.5-3
i3lock-color 2.13.c.4-1
i3status 2.14-1
iana-etc 20231018-1
ibus 1.5.28-4
icu 73.2-2
icu67 67.1-1
id3lib 3.8.3-18
igraph 0.10.7-1
iio-sensor-proxy 3.5-2
ijs 0.35-5
imagemagick 7.1.1.21-1
imake 1.0.9-2
imath 3.1.9-2
iml 1.0.5-3
imlib2 1.12.1-1
impacket 0.9.24-3
incidenceeditor 23.08.2-1
inetutils 2.4-2
iniparser 4.1-4
intel-gmmlib 22.3.12-1
intel-media-driver 23.3.5-1
intel-ucode 20230808-1
iproute2 6.5.0-1
iptables 1:1.8.9-1
iputils 20221126-2
ipython 8.16.0-1
iso-codes 4.15.0-1
itinerary 23.08.2-2
iw 5.19-2
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk 20-1
jdk-openjdk 21.u35-3
jdk8-openjdk 8.392.u08-1
jemalloc 1:5.3.0-3
john 1.9.0.jumbo1-9
jq 1.7-1
js102 102.15.0-1
js78 78.15.0-4
js91 91.13.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
juk 23.08.2-1
jupyter-nbclassic 1.0.0-1
jupyter-nbclient 0.8.0-1
jupyter-nbconvert 7.9.2-1
jupyter-nbformat 5.9.2-1
jupyter-notebook 7.0.6-1
jupyter-notebook-shim 0.2.3-2
jupyter-server 2.9.1-1
jupyter-server-fileid 0.9.0-1
jupyter-server-ydoc 0.8.0-5
jupyterlab 4.0.7-1
jupyterlab-pygments 0.2.2-1
k3b 1:23.08.2-1
kaccounts-integration 23.08.2-1
kaccounts-providers 23.08.2-1
kactivities-stats5 5.111.0-1
kactivities5 5.111.0-1
kactivitymanagerd 5.27.9-1
kaddressbook 23.08.2-1
kajongg 23.08.2-1
kalarm 23.08.2-1
kalgebra 23.08.2-1
kalk 23.08.2-1
kalzium 23.08.2-2
kamera 23.08.2-1
kamoso 23.08.2-1
kanagram 23.08.2-1
kapman 23.08.2-1
kapptemplate 23.08.2-1
karchive5 5.111.0-1
kasts 23.08.2-2
kate 23.08.2-1
katomic 23.08.2-1
kauth5 5.111.0-1
kbackup 23.08.2-1
kbd 2.6.3-1
kblackbox 23.08.2-1
kblocks 23.08.2-1
kbookmarks5 5.111.0-1
kbounce 23.08.2-1
kbreakout 23.08.2-1
kbruch 23.08.2-1
kcachegrind 23.08.2-1
kcachegrind-common 23.08.2-1
kcalc 23.08.2-1
kcalendarcore5 5.111.0-1
kcalutils 23.08.2-1
kcharselect 23.08.2-1
kclock 23.08.2-3
kcmutils5 5.111.0-1
kcodecs5 5.111.0-1
kcolorchooser 23.08.2-1
kcolorpicker 0.2.0-1
kcompletion5 5.111.0-1
kconfig5 5.111.0-1
kconfigwidgets5 5.111.0-1
kcontacts5 5.111.0-1
kcoreaddons5 5.111.0-1
kcrash5 5.111.0-1
kcron 23.08.2-1
kdav5 1:5.111.0-1
kdbusaddons5 5.111.0-1
kde-cli-tools 5.27.9-1
kde-dev-scripts 23.08.2-1
kde-dev-utils 23.08.2-1
kde-gtk-config 5.27.9-1
kde-inotify-survey 23.08.2-1
kdebugsettings 23.08.2-1
kdeclarative5 5.111.0-1
kdeconnect 23.08.2-2
kdecoration 5.27.9-1
kded5 5.111.0-1
kdeedu-data 23.08.2-1
kdegraphics-mobipocket 23.08.2-1
kdegraphics-thumbnailers 23.08.2-1
kdelibs4support 5.111.0-1
kdenetwork-filesharing 23.08.2-1
kdenlive 23.08.2-1
kdepim-addons 23.08.2-1
kdepim-runtime 23.08.2-1
kdeplasma-addons 5.27.9-1
kdesdk-kio 23.08.2-1
kdesdk-thumbnailers 23.08.2-1
kdesignerplugin 5.111.0-1
kdesu5 5.111.0-1
kdevelop 23.08.2-1
kdevelop-php 23.08.2-1
kdevelop-python 23.08.2-1
kdewebkit 5.96.0-1
kdf 23.08.2-1
kdiagram 2.8.0-1
kdialog 23.08.2-1
kdiamond 23.08.2-1
kdnssd5 5.111.0-1
kdoctools5 5.111.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 23.08.2-1
kemoticons 5.111.0-1
keysmith 23.08.2-3
keyutils 1.6.3-2
kfilemetadata5 5.111.0-1
kfind 23.08.2-1
kfourinline 23.08.2-1
kgamma5 5.27.9-1
kgeography 23.08.2-1
kget 23.08.2-1
kglobalaccel5 5.111.0-1
kgoldrunner 23.08.2-1
kgpg 23.08.2-1
kguiaddons5 5.111.0-1
khangman 23.08.2-1
khealthcertificate 23.01.0-2
khelpcenter 23.08.2-1
kholidays5 1:5.111.0-1
khotkeys 5.27.9-1
khtml 5.111.0-1
ki18n5 5.111.0-1
kiconthemes5 5.111.0-1
kidentitymanagement 23.08.2-1
kidletime5 5.111.0-1
kig 23.08.2-1
kigo 23.08.2-1
killbots 23.08.2-1
kimageannotator 0.6.1-1
kimagemapeditor 23.08.2-1
kimap 23.08.2-1
kinfocenter 5.27.9-1
kinit 5.111.0-1
kio-admin 23.08.2-1
kio-extras 23.08.2-1
kio-fuse 5.0.1-2
kio-gdrive 23.08.2-1
kio-zeroconf 23.08.2-1
kio5 5.111.0-1
kirigami-addons5 0.11.0-3
kirigami-gallery 23.08.2-1
kirigami2 5.111.0-1
kiriki 23.08.2-1
kitemmodels5 5.111.0-1
kitemviews5 5.111.0-1
kiten 23.08.2-1
kitinerary 23.08.2-1
kjobwidgets5 5.111.0-1
kjournald 23.08.2-1
kjs 5.111.0-1
kjumpingcube 23.08.2-1
kldap 23.08.2-1
kleopatra 23.08.2-1
klettres 23.08.2-1
klickety 23.08.2-1
